Ticker,Security Name,Weight (%),Sector,Country,Asset Class
RDN,RADIAN GROUP INC,0.08,Financials,United States,Equity
OZK,BANK OZK,0.08,Financials,United States,Equity
HOMB,HOME BANCSHARES INC,0.07,Financials,United States,Equity
SLM,SLM CORP,0.07,Financials,United States,Equity
FFIN,FIRST FINANCIAL BANKSHARES INC,0.06,Financials,United States,Equity
VIRT,VIRTU FINANCIAL INC CLASS A,0.06,Financials,United States,Equity
MORN,MORNINGSTAR INC,0.06,Financials,United States,Equity
HLNE,HAMILTON LANE INC CLASS A,0.06,Financials,United States,Equity
CACC,CREDIT ACCEPTANCE CORP,0.05,Financials,United States,Equity
BOKF,BOK FINANCIAL CORP,0.04,Financials,United States,Equity
UWMC,UWM HOLDINGS CORP CLASS A,0.01,Financials,United States,Equity
WFFUT,CASH COLLATERAL USD WFFUT,0.01,Cash and/or Derivatives,United States,Cash Collateral and Margins
