Ticker,Security Name,Weight (%),Sector,Country,Asset Class
002384,SUZHOU DONGSHAN PRECISION MANUFACT,0.12,Information Technology,China,Equity
3808,SINOTRUK (HONG KONG) LTD,0.12,Industrials,China,Equity
3888,KINGSOFT LTD,0.12,Communication,China,Equity
CNH,CNH CASH,0.12,Cash and/or Derivatives,China,Cash
241,ALIBABA HEALTH INFORMATION TECH LT,0.12,Consumer Staples,China,Equity
601166,INDUSTRIAL BANK LTD A,0.12,Financials,China,Equity
2611,GUOTAI HAITONG SECURITIES CO LTD H,0.12,Financials,China,Equity
000858,WULIANGYE YIBIN LTD A,0.11,Consumer Staples,China,Equity
914,ANHUI CONCH CEMENT LTD H,0.11,Materials,China,Equity
601328,BANK OF COMMUNICATIONS LTD A,0.11,Financials,China,Equity
1099,SINOPHARM GROUP LTD H,0.11,Health Care,China,Equity
9863,ZHEJIANG LEAPMOTOR TECHNOLOGY LTD,0.11,Consumer Discretionary,China,Equity
322,TINGYI (CAYMAN ISLANDS) HOLDINGS C,0.11,Consumer Staples,China,Equity
9880,UBTECH ROBOTICS CORP LTD H,0.11,Industrials,China,Equity
6862,HAIDILAO INTERNATIONAL HOLDING LTD,0.11,Consumer Discretionary,China,Equity
270,GUANGDONG INVESTMENT LTD,0.11,Utilities,China,Equity
1898,CHINA COAL ENERGY LTD H,0.11,Energy,China,Equity
603993,CHINA MOLYBDENUM LTD A,0.11,Materials,China,Equity
600276,JIANGSU HENGRUI MEDICINE LTD A,0.11,Health Care,China,Equity
780,TONGCHENG TRAVEL HOLDINGS LTD,0.11,Consumer Discretionary,China,Equity
1988,CHINA MINSHENG BANKING CORP LTD H,0.11,Financials,China,Equity
600030,CITIC SECURITIES LTD A,0.11,Financials,China,Equity
285,BYD ELECTRONIC (INTERNATIONAL) LTD,0.1,Information Technology,China,Equity
300059,EAST MONEY INFORMATION LTD A,0.1,Financials,China,Equity
1929,CHOW TAI FOOK JEWELLERY GROUP LTD,0.1,Consumer Discretionary,China,Equity
1519,J&T GLOBAL EXPRESS LTD,0.1,Industrials,China,Equity
3800,GCL TECHNOLOGY HOLDINGS LTD,0.1,Information Technology,China,Equity
6990,SICHUAN KELUN-BIOTECH BIOPHARM LTD,0.1,Health Care,China,Equity
3323,CHINA NATIONAL BUILDING MATERIAL L,0.1,Materials,China,Equity
300476,VICTORY GIANT TECHNOLOGY HUIZHOU L,0.1,Information Technology,China,Equity
600150,CHINA CSSC HOLDINGS LTD A,0.1,Industrials,China,Equity
