iShares MSCI Kokusai ETF
Fund Holdings as of,"May 14, 2026"
Inception Date,"Dec 10, 2007"
Shares Outstanding,"1,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Equity","554,183.62","0.22","554,183.62","4,902.00","113.05","Australia","Asx - All Markets","USD","1.38","AUD","-"
"TTE","TOTALENERGIES","Energy","Equity","531,214.34","0.21","531,214.34","5,810.00","91.43","France","Nyse Euronext - Euronext Paris","USD","0.86","EUR","-"
"TD","TORONTO DOMINION","Financials","Equity","530,741.34","0.21","530,741.34","4,904.00","108.23","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"BA","BOEING","Industrials","Equity","528,787.47","0.21","528,787.47","2,307.00","229.21","United States","NYSE","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","526,199.95","0.21","526,199.95","1,565.00","336.23","United States","NASDAQ","USD","1.00","USD","-"
"SAN","BANCO SANTANDER","Financials","Equity","518,400.71","0.21","518,400.71","43,318.00","11.97","Spain","Bolsa De Madrid","USD","0.86","EUR","-"
"T","AT&T INC","Communication","Equity","515,283.60","0.21","515,283.60","20,904.00","24.65","United States","NYSE","USD","1.00","USD","-"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","512,632.12","0.21","512,632.12","637.00","804.76","United States","NASDAQ","USD","1.00","USD","-"
"SU","SCHNEIDER ELECTRIC","Industrials","Equity","506,034.89","0.20","506,034.89","1,599.00","316.47","France","Nyse Euronext - Euronext Paris","USD","0.86","EUR","-"
"SAP","SAP","Information Technology","Equity","505,391.36","0.20","505,391.36","3,064.00","164.95","Germany","Xetra","USD","0.86","EUR","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","501,370.31","0.20","501,370.31","1,603.00","312.77","United States","NYSE","USD","1.00","USD","-"
"ALV","ALLIANZ","Financials","Equity","495,716.49","0.20","495,716.49","1,116.00","444.19","Germany","Xetra","USD","0.86","EUR","-"
"ABBN","ABB LTD","Industrials","Equity","490,144.33","0.20","490,144.33","4,632.00","105.82","Switzerland","SIX Swiss Exchange","USD","0.78","CHF","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","489,893.53","0.20","489,893.53","1,093.00","448.21","United States","NYSE","USD","1.00","USD","-"
"GLW","CORNING INC","Information Technology","Equity","488,000.04","0.20","488,000.04","2,343.00","208.28","United States","NYSE","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","486,215.10","0.20","486,215.10","994.00","489.15","United States","NASDAQ","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","482,019.00","0.19","482,019.00","3,650.00","132.06","United States","NASDAQ","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","478,003.40","0.19","478,003.40","3,244.00","147.35","United States","NYSE","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","473,628.87","0.19","473,628.87","429.00","1,104.03","United States","NYSE","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","469,728.96","0.19","469,728.96","1,744.00","269.34","United States","NYSE","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","466,866.40","0.19","466,866.40","1,144.00","408.10","United States","NYSE","USD","1.00","USD","-"
"ENR","SIEMENS ENERGY N AG","Industrials","Equity","465,776.21","0.19","465,776.21","2,253.00","206.74","Germany","Xetra","USD","0.86","EUR","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","464,714.64","0.19","464,714.64","3,144.00","147.81","United States","NYSE","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","464,029.02","0.19","464,029.02","2,769.00","167.58","United States","NYSE","USD","1.00","USD","-"
