iShares MSCI Emerging Markets ETF
Fund Holdings as of,"May 14, 2026"
Inception Date,"Apr 07, 2003"
Shares Outstanding,"442,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"2345","ACCTON TECHNOLOGY CORP","Information Technology","Equity","101,856,258.92","0.34","101,856,258.92","1,200,000.00","84.88","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"PETR4","PETROLEO BRASILEIRO PREF SA","Energy","Equity","97,826,005.24","0.33","97,826,005.24","10,826,404.00","9.04","Brazil","XBSP","USD","4.98","BRL","-"
"9999","NETEASE INC","Communication","Equity","96,710,812.14","0.32","96,710,812.14","4,123,450.00","23.45","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"NPN","NASPERS LIMITED LTD CLASS N","Consumer Discretionary","Equity","96,139,147.64","0.32","96,139,147.64","1,853,538.00","51.87","South Africa","Johannesburg Stock Exchange","USD","16.46","ZAR","-"
"9888","BAIDU CLASS A INC","Communication","Equity","94,828,844.54","0.32","94,828,844.54","5,271,380.00","17.99","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"9618","JD.COM CLASS A INC","Consumer Discretionary","Equity","93,978,064.88","0.32","93,978,064.88","5,657,754.00","16.61","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"GFI","GOLD FIELDS LTD","Materials","Equity","93,749,462.80","0.31","93,749,462.80","2,118,550.00","44.25","South Africa","Johannesburg Stock Exchange","USD","16.46","ZAR","-"
"2303","UNITED MICRO ELECTRONICS CORP","Information Technology","Equity","91,948,215.14","0.31","91,948,215.14","26,831,000.00","3.43","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"009150","SAMSUNG ELECTRO MECHANICS LTD","Information Technology","Equity","91,368,450.99","0.31","91,368,450.99","133,033.00","686.81","Korea (South)","Korea Exchange (Stock Market)","USD","1,490.95","KRW","-"
"GMEXICOB","GRUPO MEXICO B","Materials","Equity","90,686,123.21","0.30","90,686,123.21","7,379,609.00","12.29","Mexico","Bolsa Mexicana De Valores","USD","17.21","MXN","-"
"105560","KB FINANCIAL GROUP INC","Financials","Equity","89,614,594.72","0.30","89,614,594.72","856,480.00","104.63","Korea (South)","Korea Exchange (Stock Market)","USD","1,490.95","KRW","-"
"3037","UNIMICRON TECHNOLOGY CORP","Information Technology","Equity","88,648,559.83","0.30","88,648,559.83","3,171,123.00","27.95","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"PETR3","PETROLEO BRASILEIRO SA PETROBRAS","Energy","Equity","88,265,271.37","0.30","88,265,271.37","8,901,869.00","9.92","Brazil","XBSP","USD","4.98","BRL","-"
"INFY","INFOSYS LTD","Information Technology","Equity","88,050,731.86","0.30","88,050,731.86","7,700,720.00","11.43","India","National Stock Exchange Of India","USD","95.77","INR","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","85,532,260.27","0.29","85,532,260.27","85,532,260.00","1.00","United States","-","USD","1.00","USD","-"
"034020","DOOSAN ENERBILITY LTD","Industrials","Equity","83,317,912.54","0.28","83,317,912.54","1,060,827.00","78.54","Korea (South)","Korea Exchange (Stock Market)","USD","1,490.95","KRW","-"
"DELTA.R","DELTA ELECTRONICS (THAILAND) NON-V","Information Technology","Equity","76,405,566.29","0.26","76,405,566.29","7,397,500.00","10.33","Thailand","Stock Exchange Of Thailand","USD","32.34","THB","-"
"9961","TRIP.COM GROUP LTD","Consumer Discretionary","Equity","74,663,557.94","0.25","74,663,557.94","1,470,812.00","50.76","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"OTP","OTP BANK","Financials","Equity","73,442,227.44","0.25","73,442,227.44","534,244.00","137.47","Hungary","Budapest Stock Exchange","USD","305.89","HUF","-"
"M&M","MAHINDRA AND MAHINDRA LTD","Consumer Discretionary","Equity","73,263,287.85","0.25","73,263,287.85","2,210,577.00","33.14","India","National Stock Exchange Of India","USD","95.77","INR","-"
"AXISBANK","AXIS BANK LTD","Financials","Equity","71,738,733.14","0.24","71,738,733.14","5,475,968.00","13.10","India","National Stock Exchange Of India","USD","95.77","INR","-"
"1180","THE SAUDI NATIONAL BANK","Financials","Equity","71,471,922.93","0.24","71,471,922.93","6,948,330.00","10.29","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"KFH","KUWAIT FINANCE HOUSE","Financials","Equity","71,028,936.19","0.24","71,028,936.19","27,949,524.00","2.54","Kuwait","Kuwait Stock Exchange","USD","0.31","KWD","-"
"857","PETROCHINA LTD H","Energy","Equity","69,710,433.58","0.23","69,710,433.58","50,000,000.00","1.39","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
