iShares Future AI & Tech ETF
Fund Holdings as of,"May 14, 2026"
Inception Date,"Jun 26, 2018"
Shares Outstanding,"48,775,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ONTO","ONTO INNOVATION INC","Information Technology","Equity","27,956,201.44","0.84","27,956,201.44","100,823.00","277.28","United States","NYSE","USD","1.00","USD","-"
"MDB","MONGODB INC CLASS A","Information Technology","Equity","27,128,979.72","0.81","27,128,979.72","89,508.00","303.09","United States","NASDAQ","USD","1.00","USD","-"
"2376","GIGABYTE TECHNOLOGY LTD","Information Technology","Equity","26,562,589.24","0.80","26,562,589.24","2,560,000.00","10.38","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"ENTG","ENTEGRIS INC","Information Technology","Equity","26,542,677.48","0.80","26,542,677.48","190,598.00","139.26","United States","NASDAQ","USD","1.00","USD","-"
"DGT","DIGICO INFRASTRUCTURE REIT STAPLED","Real Estate","Equity","23,942,564.44","0.72","23,942,564.44","12,134,445.00","1.97","Australia","Asx - All Markets","USD","1.38","AUD","-"
"3231","WISTRON CORP","Information Technology","Equity","22,249,024.27","0.67","22,249,024.27","5,081,000.00","4.38","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"MAQ","MACQUARIE TECHNOLOGY GROUP LTD","Information Technology","Equity","20,816,148.83","0.62","20,816,148.83","373,074.00","55.80","Australia","Asx - All Markets","USD","1.38","AUD","-"
"WDAY","WORKDAY INC CLASS A","Information Technology","Equity","20,195,693.75","0.61","20,195,693.75","170,069.00","118.75","United States","NASDAQ","USD","1.00","USD","-"
"CAMT","CAMTEK LTD","Information Technology","Equity","19,916,867.23","0.60","19,916,867.23","114,521.00","173.91","Israel","Tel Aviv Stock Exchange","USD","2.90","ILS","-"
"2329","ORIENT SEMICONDUCTOR ELECTRONICS L","Information Technology","Equity","19,821,056.64","0.60","19,821,056.64","10,733,000.00","1.85","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"4180","APPIER GROUP INC","Information Technology","Equity","19,588,035.66","0.59","19,588,035.66","2,930,700.00","6.68","Japan","Tokyo Stock Exchange","USD","158.15","JPY","-"
"3324","AURAS TECHNOLOGY LTD","Information Technology","Equity","19,163,096.94","0.58","19,163,096.94","595,000.00","32.21","Taiwan","Gretai Securities Market","USD","31.52","TWD","-"
"PRESIGHT","PRESIGHT AI HOLDING PLC","Information Technology","Equity","18,331,837.80","0.55","18,331,837.80","19,861,654.00","0.92","United Arab Emirates","Abu Dhabi Securities Exchange","USD","3.67","AED","-"
"GIB.A","CGI INC CLASS A","Information Technology","Equity","16,764,360.34","0.50","16,764,360.34","269,409.00","62.23","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"TEM","TEMPUS AI INC CLASS A","Health Care","Equity","15,064,203.96","0.45","15,064,203.96","331,227.00","45.48","United States","NASDAQ","USD","1.00","USD","-"
"CSGP","COSTAR GROUP INC","Real Estate","Equity","14,265,200.95","0.43","14,265,200.95","447,887.00","31.85","United States","NASDAQ","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","7,110,077.80","0.21","7,110,077.80","7,110,078.00","1.00","United States","-","USD","1.00","USD","-"
"EUR","EUR CASH","Cash and/or Derivatives","Cash","1,045,956.96","0.03","1,045,956.96","895,511.00","116.80","European Union","-","USD","0.86","EUR","-"
"KRW","KRW CASH","Cash and/or Derivatives","Cash","439,776.50","0.01","439,776.50","655,684,772.00","0.07","Korea (South)","-","USD","1,490.95","KRW","-"
"HBCFT","CASH COLLATERAL USD HBCFT","Cash and/or Derivatives","Cash Collateral and Margins","404,000.00","0.01","404,000.00","404,000.00","100.00","United Kingdom","-","USD","1.00","USD","May 28, 2019"
"JPY","JPY CASH","Cash and/or Derivatives","Cash","78,327.35","0.00","78,327.35","12,387,079.00","0.63","Japan","-","USD","158.15","JPY","-"
"TWD","TWD CASH","Cash and/or Derivatives","Cash","31,721.43","0.00","31,721.43","999,701.00","3.17","Taiwan","-","USD","31.52","TWD","-"
"AUD","AUD CASH","Cash and/or Derivatives","Cash","14,822.15","0.00","14,822.15","20,508.00","72.28","Australia","-","USD","1.38","AUD","-"
"CAD","CAD CASH","Cash and/or Derivatives","Cash","5,653.99","0.00","5,653.99","7,763.00","72.83","Canada","-","USD","1.37","CAD","-"
"ILS","ILS CASH","Cash and/or Derivatives","Cash","1,678.45","0.00","1,678.45","4,871.00","34.46","Israel","-","USD","2.90","ILS","-"
"HKD","HKD CASH","Cash and/or Derivatives","Cash","204.03","0.00","204.03","1,598.00","12.77","Hong Kong","-","USD","7.83","HKD","-"
"GBP","GBP CASH","Cash and/or Derivatives","Cash","207.47","0.00","207.47","154.00","134.85","United Kingdom","-","USD","0.74","GBP","-"
"CHF","CHF CASH","Cash and/or Derivatives","Cash","207.51","0.00","207.51","162.00","127.71","Switzerland","-","USD","0.78","CHF","-"
"SEK","SEK CASH","Cash and/or Derivatives","Cash","225.20","0.00","225.20","2,104.00","10.70","Sweden","-","USD","9.34","SEK","-"
"NOK","NOK CASH","Cash and/or Derivatives","Cash","449.05","0.00","449.05","4,148.00","10.82","Norway","-","USD","9.24","NOK","-"
"NQM6","NASDAQ 100 E-MINI JUN 26","Cash and/or Derivatives","Futures","0.00","0.00","6,531,305.00","11.00","29,687.75","-","Index And Options Market","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","-745,863.55","-0.02","-745,863.55","-745,864.00","100.00","United States","-","USD","1.00","USD","-"

"The content contained herein is owned or licensed by BlackRock and/or its third-party information providers and is protected by applicable copyrights, trademarks, service marks, and/or other intellectual property rights. Such content is solely for your personal, non-commercial use. Accordingly, you may not copy, distribute, modify, post, frame or deep link this content. You may download material displayed on this Website for your personal use provided you also retain all copyright and other proprietary notices contained on the materials. Modification or use of the materials for any other purpose violates BlackRock's intellectual property rights.
Holdings subject to change. See www.iShares.com for the most recent funds holdings.
The values for “price” shown herein generally represent a price provided by a third-party pricing vendor for the portfolio holding and do not reflect the impact of systematic fair valuation (“the vendor price”). The vendor price is not necessarily the price at which the Fund values the portfolio holding for the purposes of determining its net asset value (the “valuation price”). Additionally, where applicable, foreign currency exchange rates with respect to the portfolio holdings denominated in non-U.S. currencies for the valuation price will be generally determined as of the close of business on the New York Stock Exchange, whereas for the vendor price will be generally determined as of 4 p.m. London. The values shown herein for “market value,” “weight,” and “notional value” (the “calculated values”) are based off of the vendor price and may have been different if the valuation price were to have been used to calculate such values. The vendor price is as of the most recent practicable date and may not necessarily be as of the date shown above.
Please see the “Determination of Net Asset Value” section of each Fund’s prospectus for additional information on the Fund’s valuation policies and procedures.
CAREFULLY CONSIDER THE FUNDS' INVESTMENT OBJECTIVES, RISK FACTORS, AND CHARGES AND EXPENSES BEFORE INVESTING. THIS AND OTHER INFORMATION CAN BE FOUND IN THE FUNDS' PROSPECTUSES OR, IF AVAILABLE, THE SUMMARY PROSPECTUSES WHICH MAY BE OBTAINED BY VISITING WWW.ISHARES.COM OR WWW.BLACKROCK.COM. READ THE PROSPECTUS CAREFULLY BEFORE INVESTING. INVESTING INVOLVES RISK, INCLUDING POSSIBLE LOSS OF PRINCIPAL.
This information should not be relied upon as research, investment advice, or a recommendation regarding any products, strategies, or any security in particular.
This material is strictly for illustrative, educational, or informational purposes and is subject to change.
The Funds are distributed by BlackRock Investments, LLC (together with its affiliates, “BlackRock”).
The iShares Funds are not sponsored, endorsed, issued, sold or promoted by Bloomberg, BlackRock Index Services, LLC, Cboe Global Indices, LLC, Cohen & Steers, European Public Real Estate Association (“EPRA® ”), FTSE International Limited (“FTSE”), ICE Data Indices, LLC, NSE Indices Ltd, JPMorgan, JPX Group, London Stock Exchange Group (“LSEG”), MSCI Inc., Markit Indices Limited, Morningstar, Inc., Nasdaq, Inc., National Association of Real Estate Investment Trusts (“NAREIT”), Nikkei, Inc., Russell, S&P Dow Jones Indices LLC or STOXX Ltd. None of these companies make any representation regarding the advisability of investing in the Funds. With the exception of BlackRock Index Services, LLC, who is an affiliate, BlackRock Investments, LLC is not affiliated with the companies listed above. Neither FTSE, LSEG, nor NAREIT makes any warranty regarding the FTSE Nareit Equity REITS Index, FTSE Nareit All Residential Capped Index or FTSE Nareit All Mortgage Capped Index. Neither FTSE, EPRA, LSEG, nor NAREIT makes any warranty regarding the FTSE EPRA Nareit Developed ex-U.S. Index, FTSE EPRA Nareit Developed Green Target Index or FTSE EPRA Nareit Global REITs Index. “FTSE®” is a trademark of London Stock Exchange Group companies and is used by FTSE under license.
©2023 BlackRock, Inc or its affiliates. All rights reserved. iSHARES, iBONDS and BLACKROCK are trademarks of BlackRock, Inc. or its affiliates. All other trademarks are those of their respective owners."
