iShares U.S. Financial Services ETF
Fund Holdings as of,"May 14, 2026"
Inception Date,"Jun 12, 2000"
Shares Outstanding,"22,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CFG","CITIZENS FINANCIAL GROUP INC","Financials","Equity","7,744,409.12","0.39","7,744,409.12","126,584.00","61.18","United States","NYSE","USD","1.00","USD","-"
"SYF","SYNCHRONY FINANCIAL","Financials","Equity","7,377,690.32","0.37","7,377,690.32","103,532.00","71.26","United States","NYSE","USD","1.00","USD","-"
"LPLA","LPL FINANCIAL HOLDINGS INC","Financials","Equity","7,125,727.95","0.36","7,125,727.95","23,895.00","298.21","United States","NASDAQ","USD","1.00","USD","-"
"RF","REGIONS FINANCIAL CORP","Financials","Equity","6,927,103.20","0.35","6,927,103.20","258,474.00","26.80","United States","NYSE","USD","1.00","USD","-"
"TROW","T ROWE PRICE GROUP INC","Financials","Equity","6,715,842.98","0.34","6,715,842.98","65,578.00","102.41","United States","NASDAQ","USD","1.00","USD","-"
"SOFI","SOFI TECHNOLOGIES INC","Financials","Equity","6,062,656.86","0.31","6,062,656.86","378,443.00","16.02","United States","NASDAQ","USD","1.00","USD","-"
"KEY","KEYCORP","Financials","Equity","5,882,015.64","0.30","5,882,015.64","279,033.00","21.08","United States","NYSE","USD","1.00","USD","-"
"FCNCA","FIRST CITIZENS BANCSHARES INC CLAS","Financials","Equity","5,595,644.40","0.28","5,595,644.40","2,888.00","1,937.55","United States","NASDAQ","USD","1.00","USD","-"
"EWBC","EAST WEST BANCORP INC","Financials","Equity","4,937,390.88","0.25","4,937,390.88","40,981.00","120.48","United States","NASDAQ","USD","1.00","USD","-"
"PNFP","PINNACLE FINANCIAL PARTNERS INC","Financials","Equity","4,296,327.04","0.22","4,296,327.04","45,016.00","95.44","United States","NYSE","USD","1.00","USD","-"
"RKT","ROCKET COMPANIES INC CLASS A","Financials","Equity","4,119,794.28","0.21","4,119,794.28","288,501.00","14.28","United States","NYSE","USD","1.00","USD","-"
"EVR","EVERCORE INC CLASS A","Financials","Equity","3,928,785.33","0.20","3,928,785.33","11,519.00","341.07","United States","NYSE","USD","1.00","USD","-"
"CG","CARLYLE GROUP INC","Financials","Equity","3,877,449.48","0.20","3,877,449.48","77,487.00","50.04","United States","NASDAQ","USD","1.00","USD","-"
"TW","TRADEWEB MARKETS INC CLASS A","Financials","Equity","3,781,921.00","0.19","3,781,921.00","34,450.00","109.78","United States","NASDAQ","USD","1.00","USD","-"
"IVZ","INVESCO LTD","Financials","Equity","3,666,321.95","0.19","3,666,321.95","132,215.00","27.73","United States","NYSE","USD","1.00","USD","-"
"ALLY","ALLY FINANCIAL INC","Financials","Equity","3,572,977.36","0.18","3,572,977.36","84,328.00","42.37","United States","NYSE","USD","1.00","USD","-"
"FHN","FIRST HORIZON CORP","Financials","Equity","3,460,131.28","0.18","3,460,131.28","145,874.00","23.72","United States","NYSE","USD","1.00","USD","-"
"SF","STIFEL FINANCIAL CORP","Financials","Equity","3,459,858.39","0.18","3,459,858.39","46,113.00","75.03","United States","NYSE","USD","1.00","USD","-"
"WBS","WEBSTER FINANCIAL CORP","Financials","Equity","3,443,519.88","0.17","3,443,519.88","48,067.00","71.64","United States","NYSE","USD","1.00","USD","-"
"EQH","EQUITABLE HOLDINGS INC","Financials","Equity","3,401,472.44","0.17","3,401,472.44","79,997.00","42.52","United States","NYSE","USD","1.00","USD","-"
"WTFC","WINTRUST FINANCIAL CORP","Financials","Equity","2,960,269.92","0.15","2,960,269.92","20,208.00","146.49","United States","NASDAQ","USD","1.00","USD","-"
"BEN","FRANKLIN RESOURCES INC","Financials","Equity","2,959,798.55","0.15","2,959,798.55","91,493.00","32.35","United States","NYSE","USD","1.00","USD","-"
